Id ka V CL
1 1.60265091722991 28.1299107200991 2.5080166398694
2 1.60265091722991 32.8206781474434 2.5080166398694
3 1.60265091722991 32.5416707627407 2.5080166398694
4 1.60265091722991 34.2159201075209 2.5080166398694
5 1.60265091722991 28.4332983246918 2.5080166398694
6 1.60265091722991 43.6127047850223 2.5080166398694
7 1.60265091722991 40.5939386164178 2.5080166398694
8 1.60265091722991 37.4668900607264 2.5080166398694
9 1.60265091722991 29.7352685574998 2.5080166398694
10 1.60265091722991 32.1434381030605 2.5080166398694
11 1.60265091722991 35.3086188303792 2.5080166398694
12 1.60265091722991 30.5099959635038 2.5080166398694
